home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
IOWA,NOTRE DAME,"STEAL by Uthoff, Jarrod",34,0,TURNOVR by Zach Auguste,1,0,19
IOWA,NOTRE DAME,"GOOD! LAYUP by Gesell, Mike [PNT]",29,2,,1,0,19
IOWA,NOTRE DAME,,4,2,MISSED JUMPER by Demetrius Jackson,1,0,19
IOWA,NOTRE DAME,,4,2,REBOUND (OFF) by Bonzie Colson,1,0,19
IOWA,NOTRE DAME,"FOUL by Clemmons, Anthony (P1T1)",1,2,MISSED FT SHOT by Bonzie Colson,1,0,19
IOWA,NOTRE DAME,,1,2,REBOUND (OFF) by (DEADBALL),1,0,19
IOWA,NOTRE DAME,,1,2,GOOD! FT SHOT by Bonzie Colson,1,1,19
IOWA,NOTRE DAME,"GOOD! 3 PTR by Jok, Peter",52,5,,1,1,18
IOWA,NOTRE DAME,"ASSIST by Gesell, Mike",52,5,,1,1,18
IOWA,NOTRE DAME,"BLOCK by Woodbury, Adam",35,5,MISSED LAYUP by Zach Auguste,1,1,18
IOWA,NOTRE DAME,"REBOUND (DEF) by Woodbury, Adam",33,5,,1,1,18
IOWA,NOTRE DAME,"GOOD! LAYUP by Woodbury, Adam [PNT]",23,7,,1,1,18
IOWA,NOTRE DAME,"ASSIST by Gesell, Mike",23,7,,1,1,18
IOWA,NOTRE DAME,,5,7,GOOD! LAYUP by Steve Vasturia [PNT],1,3,18
IOWA,NOTRE DAME,"GOOD! 3 PTR by Uthoff, Jarrod",51,10,,1,3,17
IOWA,NOTRE DAME,,20,10,GOOD! LAYUP by Bonzie Colson [PNT],1,5,17
IOWA,NOTRE DAME,,20,10,ASSIST by Zach Auguste,1,5,17
IOWA,NOTRE DAME,"MISSED LAYUP by Gesell, Mike",9,10,,1,5,17
IOWA,NOTRE DAME,"REBOUND (OFF) by Woodbury, Adam",9,10,,1,5,17
IOWA,NOTRE DAME,"GOOD! JUMPER by Woodbury, Adam",58,12,,1,5,16
IOWA,NOTRE DAME,"FOUL by Woodbury, Adam (P1T2)",37,12,,1,5,16
IOWA,NOTRE DAME,,37,12,SUB IN : Matt Ryan,1,5,16
IOWA,NOTRE DAME,,37,12,SUB OUT: Bonzie Colson,1,5,16
IOWA,NOTRE DAME,,21,12,MISSED LAYUP by V.J. Beachem,1,5,16
IOWA,NOTRE DAME,,21,12,REBOUND (OFF) by Zach Auguste,1,5,16
IOWA,NOTRE DAME,,20,12,GOOD! LAYUP by Zach Auguste [PNT],1,7,16
IOWA,NOTRE DAME,"FOUL by Woodbury, Adam (P2T3)",20,12,MISSED FT SHOT by Zach Auguste,1,7,16
IOWA,NOTRE DAME,"REBOUND (DEF) by Uthoff, Jarrod",20,12,,1,7,16
IOWA,NOTRE DAME,"SUB IN : Uhl, Dom",20,12,,1,7,16
IOWA,NOTRE DAME,"SUB OUT: Woodbury, Adam",20,12,,1,7,16
IOWA,NOTRE DAME,"MISSED 3 PTR by Jok, Peter",13,12,REBOUND (DEF) by V.J. Beachem,1,7,16
IOWA,NOTRE DAME,"REBOUND (DEF) by Uthoff, Jarrod",58,12,MISSED 3 PTR by Steve Vasturia,1,7,15
IOWA,NOTRE DAME,"MISSED 3 PTR by Jok, Peter",42,12,REBOUND (DEF) by V.J. Beachem,1,7,15
IOWA,NOTRE DAME,"REBOUND (DEF) by Uhl, Dom",33,12,MISSED 3 PTR by V.J. Beachem,1,7,15
IOWA,NOTRE DAME,,22,12,FOUL by Matt Ryan (P1T1),1,7,15
IOWA,NOTRE DAME,TIMEOUT MEDIA,22,12,,1,7,15
IOWA,NOTRE DAME,"SUB IN : Ellingson, Brady",22,12,,1,7,15
IOWA,NOTRE DAME,"SUB OUT: Jok, Peter",22,12,,1,7,15
IOWA,NOTRE DAME,"MISSED 3 PTR by Gesell, Mike",56,12,REBOUND (DEF) by Demetrius Jackson,1,7,14
IOWA,NOTRE DAME,,31,12,GOOD! 3 PTR by V.J. Beachem,1,10,14
IOWA,NOTRE DAME,,31,12,ASSIST by Steve Vasturia,1,10,14
IOWA,NOTRE DAME,"MISSED 3 PTR by Uthoff, Jarrod",14,12,,1,10,14
IOWA,NOTRE DAME,"REBOUND (OFF) by Clemmons, Anthony",14,12,,1,10,14
IOWA,NOTRE DAME,"MISSED 3 PTR by Gesell, Mike",10,12,REBOUND (DEF) by V.J. Beachem,1,10,14
IOWA,NOTRE DAME,"REBOUND (DEF) by Ellingson, Brady",45,12,MISSED LAYUP by Zach Auguste,1,10,13
IOWA,NOTRE DAME,"GOOD! FT SHOT by Gesell, Mike",14,13,FOUL by Demetrius Jackson (P1T2),1,10,13
IOWA,NOTRE DAME,"MISSED FT SHOT by Gesell, Mike",14,13,REBOUND (DEF) by Bonzie Colson,1,10,13
IOWA,NOTRE DAME,"SUB IN : Jok, Peter",14,13,SUB IN : Bonzie Colson,1,10,13
IOWA,NOTRE DAME,"SUB OUT: Clemmons, Anthony",14,13,SUB IN : Matt Farrell,1,10,13
IOWA,NOTRE DAME,,14,13,SUB OUT: Zach Auguste,1,10,13
IOWA,NOTRE DAME,,14,13,SUB OUT: V.J. Beachem,1,10,13
IOWA,NOTRE DAME,"REBOUND (DEF) by Jok, Peter",49,13,MISSED 3 PTR by Matt Ryan,1,10,12
IOWA,NOTRE DAME,"MISSED JUMPER by Uthoff, Jarrod",35,13,REBOUND (DEF) by Demetrius Jackson,1,10,12
